"Playlist URL","https://www.youtube.com/playlist?list=PLeN3gXHbQPwoszwUstPh4b9L0jsy_rSsr"
"Playlist title","Musica :D"
"Playlist author","malperder"
"Videos","119"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL"
"IBphxrYgJOg","Vi Login Screen and Music (Amazing)","ReignOfGaming","2013-11-24","2012-12-19","https://i.ytimg.com/vi/IBphxrYgJOg/hqdefault.jpg"
"zWe4I6dXvms","League of Legends JINX Login Theme","frostyNinja","2013-11-24","2013-10-09","https://i.ytimg.com/vi/zWe4I6dXvms/hqdefault.jpg"
"Sd8HrOLVUtA","Showtek & Noisecontrollers - Get Loose (Tiesto Remix)","Spinnin' Records","2013-11-25","2013-05-10","https://i.ytimg.com/vi/Sd8HrOLVUtA/hqdefault.jpg"
"oave-jKePH0","Bingo Players & Far East Movement - Get Up (Rattle) [Music Video]","Spinnin' Records","2013-11-26","2012-12-03","https://i.ytimg.com/vi/oave-jKePH0/hqdefault.jpg"
"KodPT2wifbo","Cosculluela - La Vida Que Vivo (Reggaeton 20122013) (Con Letra)","RIZZ AM","2013-11-27","2012-12-18","https://i.ytimg.com/vi/KodPT2wifbo/hqdefault.jpg"
"v7BddpYYNGk","Feint - Time Bomb (feat. Veela)","Feint","2013-12-03","2012-04-21","https://i.ytimg.com/vi/v7BddpYYNGk/hqdefault.jpg"
"zes-gJMqI1Y","el koala - opa, yo viace un corra","kxupin1990","2013-12-03","2012-01-30","https://i.ytimg.com/vi/zes-gJMqI1Y/hqdefault.jpg"
"vvkICSwIBMM","Wildstylez - Daydreamer [HQ Original]","EuphoricHardStyleZ","2014-01-13","2012-12-24","https://i.ytimg.com/vi/vvkICSwIBMM/hqdefault.jpg"
"RBumgq5yVrA","Passenger | Let Her Go (Official Video)","Passenger","2014-01-24","2012-07-25","https://i.ytimg.com/vi/RBumgq5yVrA/hqdefault.jpg"
"AtgAbU0RPFQ","Frontliner feat John Harris - Halos (Hardstyle Videoclip HD+HQ)","NotoriousKaffa","2014-03-03","2012-11-08","https://i.ytimg.com/vi/AtgAbU0RPFQ/hqdefault.jpg"
"RdDiLnbMu68","Different Heaven ft. Oneira - Alone","Different Heaven","2014-04-20","2014-04-19","https://i.ytimg.com/vi/RdDiLnbMu68/hqdefault.jpg"
"X2K2gBAxfgY","Dover - Let me out","Andrea Sierra","2014-05-25","2012-04-25","https://i.ytimg.com/vi/X2K2gBAxfgY/hqdefault.jpg"
